position,token,token_length,frequency
0,ប្រាសាទអង្គរវត្ត,16,6
1,ឬប្រាសាទអង្គរតូចមានទីតាំងស្ថិតនៅភាគខាងជើងនៃក្រុងសៀមរាបនៃខេត្តសៀមរាប។,68,1
2,ប្រាសាទអង្គរវត្តជាប្រាសាទព្រហ្មញ្ញសាសនាធំបំផុត,46,1
3,និងជាវិមានសាសនាដ៏ធំបំផុតនៅក្នុងលោក។,35,1
4,ប្រាសាទនេះត្រូវបានកសាងឡើងដោយព្រះបាទសូរ្យវរ្ម័នទី,48,1
5,២,1,20
6,ដែលជាស្នាដៃដ៏ធំអស្ចារ្យ,23,1
7,និងមានឈ្មោះល្បីល្បាញរន្ទឺសុះសាយទៅគ្រប់ទិសទីលើពិភពលោក។,53,1
8,ប្រាសាទនេះសាងសង់ឡើងនៅដើមសតវត្សទី,32,1
9,១២,2,13
10,ដែលស្ថិតនៅក្នុងរាជធានី,22,1
11,។,1,68
12,តាមវចនានុក្រមគឺវាបានមកពី,24,1
13,នគរវត្ត,7,1
14,ជាឈ្មោះប្រាសាទបុរាណមួយកន្លែងនៅក្នុងខេត្តសៀមរាប,46,1
15,ជាមហាមន្ទីររុងរឿងដោយលំអគ្មានពីរ,31,1
16,ហៅក្លាយមកជាអង្គរវត្ត,20,1
17,។,1,68
18,ពាក្យ,5,2
19,នគរនេះច្រើនតែមានសំឡេងក្លាយឃ្លាតជាអង្គរដូច្នេះឯង,47,1
20,ដូចជានគរបាល,11,1
21,នគរបុរី,7,1
22,នគរយមរាជ,8,1
23,នគរវត្តក្លាយជាអង្គរបាល,22,1
24,អង្គរបុរី,9,1
25,អង្គរជមរាជ,10,1
26,អង្គរត្តជាដើម។,14,1
27,ប្រាសាទអង្គរវត្តមានឈ្មោះដើមថា,29,2
28,បរមវិស្ណុលោក,12,4
29,។,1,68
30,ការវិវត្តនៃឈ្មោះ,16,1
31,អង្គរវត្ត,9,4
32,នេះអាចត្រូវបានគេយកមកប្រើតាមប្រវត្តិសាស្ត្រ។,43,1
33,តាមសិលាចារឹកនៅសតវត្សទី,22,1
34,១៦,2,7
35,បញ្ជាក់ថា,9,1
36,ឈ្មោះប្រាសាទអង្គរវត្តគឺ,23,1
37,ព្រះមហានគរឥន្ទ្រប្រ័ស្ថព្រះពិស្ណុលោក។,37,1
38,ពាក្យ,5,2
39,ឥន្ទ្រប្រ័ស្ថ,13,2
40,មានន័យថា,8,2
41,ទីក្រុងរបស់ព្រះឥន្ទ្រ,21,1
42,។,1,68
43,មួយចំណែកទៀតនៅសតវត្សរ៍ទី,23,1
44,១៧,2,2
45,ត្រូវបានគេហៅថា,14,1
46,ឥន្ទបត្តម្ភានគរស្រីសុធរវពិស្ណុលោក។,34,1
47,បើតាមវចនានុក្រមសម្តេចសង្ឃរាជ,28,1
48,ជួន,3,1
49,ណាតពាក្ថាយ,10,1
50,ឥន្ទបត្ត,8,2
51,ឬ,1,3
52,ឥន្ទ្រប្រ័ស្ថ,13,2
53,នេះមានសេចក្ដីពន្យល់ដូចតទៅ៖,26,1
54,ឈ្មោះក្រុងមួយក្នុងប្រទេសឥណ្ឌាសម័យត្រង់កន្លែងក្រុងទេល្ហីសព្វថ្ងៃនេះ។,67,1
55,ប្រជាជនខ្មែរ,12,1
56,សម័យមហានគរ,10,1
