token,frequency,token_length,rank,frequency_group
។,68,1,1,High (50-99)
និង,44,3,2,Medium (10-49)
២,20,1,3,Medium (10-49)
ម,14,1,4,Medium (10-49)
រឺ,13,2,5,Medium (10-49)
១២,13,2,6,Medium (10-49)
គ,10,1,7,Medium (10-49)
៥,8,1,8,Rare (<10)
១៦,7,2,9,Rare (<10)
ស,7,1,10,Rare (<10)
អ,7,1,11,Rare (<10)
ប្រាសាទអង្គរវត្ត,6,16,12,Rare (<10)
ម៉ែត្រ,6,6,13,Rare (<10)
នៅឆ្នាំ,6,7,14,Rare (<10)
១៣,6,2,15,Rare (<10)
ម៉ែត្រ។,5,7,16,Rare (<10)
៩,5,1,17,Rare (<10)
១០,5,2,18,Rare (<10)
៣,5,1,19,Rare (<10)
២០,5,2,20,Rare (<10)
៨០២,4,3,21,Rare (<10)
អង្គរវត្ត,4,9,22,Rare (<10)
ឃុំ,4,3,23,Rare (<10)
១០០,4,3,24,Rare (<10)
បរមវិស្ណុលោក,4,12,25,Rare (<10)
ប្រាសាទបន្ទាយស្រី,4,17,26,Rare (<10)
3,3,1,27,Rare (<10)
ព្រះបាទជ័យវរ្ម័នទី,3,18,28,Rare (<10)
១,3,1,29,Rare (<10)
១៩៩២,3,4,30,Rare (<10)
៧,3,1,31,Rare (<10)
៦,3,1,32,Rare (<10)
2,3,1,33,Rare (<10)
%,3,1,34,Rare (<10)
គឺ,3,2,35,Rare (<10)
Henri,3,5,36,Rare (<10)
Mouhot,3,6,37,Rare (<10)
១៨៦០,3,4,38,Rare (<10)
ឬ,3,1,39,Rare (<10)
ថ្ងៃ,3,4,40,Rare (<10)
ខេត្តសៀមរាប,3,11,41,Rare (<10)
នាក់,3,4,42,Rare (<10)
២០០,2,3,43,Rare (<10)
ចាប់តាំងពីឆ្នាំ,2,15,44,Rare (<10)
៤,2,1,45,Rare (<10)
២៧,2,2,46,Rare (<10)
១៩,2,2,47,Rare (<10)
អង់ហ៊្រី,2,8,48,Rare (<10)
មូហ៊ត,2,5,49,Rare (<10)
៣២,2,2,50,Rare (<10)
5,2,1,51,Rare (<10)
៣០,2,2,52,Rare (<10)
4,2,1,53,Rare (<10)
២០០១,2,4,54,Rare (<10)
៦០,2,2,55,Rare (<10)
១៤៣១,2,4,56,Rare (<10)
′,2,1,57,Rare (<10)
១១,2,2,58,Rare (<10)
៦៥,2,2,59,Rare (<10)
ឥន្ទបត្ត,2,8,60,Rare (<10)
១១១៣,2,4,61,Rare (<10)
អង្គរតូច។,2,9,62,Rare (<10)
